City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Haines Junction,CA,2021-04-18 23:30:01,60.7522,-137.5108,59.0,20,21,3.44
284,Nong Ki,TH,2021-04-18 23:34:19,14.6868,102.538,81.0,100,20,5.55
285,Aranda De Duero,ES,2021-04-18 23:34:19,41.6704,-3.6892,44.55,56,100,2.28
286,Ayan,RU,2021-04-18 23:34:20,56.45,138.1667,30.72,94,100,10.29
287,Bosaso,SO,2021-04-18 23:34:20,11.2842,49.1816,81.59,76,79,1.05
288,Metro,ID,2021-04-18 23:34:20,-5.1131,105.3067,75.83,89,79,3.29
289,Bonavista,CA,2021-04-18 23:34:21,48.6499,-53.1147,37.4,100,100,5.75
290,Sao Joao Da Barra,BR,2021-04-18 23:34:21,-21.6403,-41.0511,75.6,83,57,5.55
291,Wukari,NG,2021-04-18 23:29:28,7.85,9.7833,82.76,61,72,7.72
292,Borborema,BR,2021-04-18 23:34:22,-21.6197,-49.0736,68.63,82,21,6.58
